N,BUSCA,Tempo de inserção (média com 30 execuções),Tempo de procura (média com 30 execuções),Tipo
1000000,10,"0,86758603333333333333","0,00000673333333333333",rand
100000,10,"0,05287466666666666666","0,00000356666666666666",rand
10000,10,"0,00392350000000000000","0,00000253333333333333",rand
1000,10,"0,00031330000000000000","0,00000166666666666666",rand
100,10,"0,00002723333333333333","0,00000143333333333333",rand
2000000,10,"2,02097066666666666666","0,00000836666666666666",rand
200000,10,"0,10715510000000000000","0,00000333333333333333",rand
3000000,10,"3,29775923333333333333","0,00000816666666666666",rand
300000,10,"0,16907093333333333333","0,00000413333333333333",rand
400000,10,"0,23523933333333333333","0,00000500000000000000",rand
500000,10,"0,30794170000000000000","0,00000516666666666666",rand
50000,10,"0,02346033333333333333","0,00000300000000000000",rand
700000,10,"0,45694516666666666666","0,00000560000000000000",rand
900000,10,"0,61843900000000000000","0,00000600000000000000",rand
1000000,10,"0,41288810000000000000","0,00001266666666666666",seq
100000,10,"0,03537970000000000000","0,00000593333333333333",seq
10000,10,"0,00550550000000000000","0,00000466666666666666",seq
1000,10,"0,00033220000000000000","0,00000246666666666666",seq
100,10,"0,00002906666666666666","0,00000196666666666666",seq
2000000,10,"0,86852023333333333333","0,00001670000000000000",seq
200000,10,"0,07418180000000000000","0,00000766666666666666",seq
3000000,10,"1,34792346666666666666","0,00001570000000000000",seq
300000,10,"0,11403120000000000000","0,00000936666666666666",seq
400000,10,"0,15523153333333333333","0,00000976666666666666",seq
500000,10,"0,19789230000000000000","0,00001020000000000000",seq
50000,10,"0,01674100000000000000","0,00000366666666666666",seq
700000,10,"0,28220726666666666666","0,00001173333333333333",seq
900000,10,"0,36933603333333333333","0,00001276666666666666",seq
1000000,100,"0,84410783333333333333","0,00005536666666666666",rand
100000,100,"0,05086453333333333333","0,00002303333333333333",rand
10000,100,"0,00381600000000000000","0,00001360000000000000",rand
1000,100,"0,00031530000000000000","0,00000910000000000000",rand
100,100,"0,00002690000000000000","0,00000646666666666666",rand
2000000,100,"2,03362963333333333333","0,00006876666666666666",rand
200000,100,"0,10953320000000000000","0,00002910000000000000",rand
3000000,100,"3,27912800000000000000","0,00007353333333333333",rand
300000,100,"0,16916866666666666666","0,00003280000000000000",rand
400000,100,"0,23436260000000000000","0,00003580000000000000",rand
500000,100,"0,30617800000000000000","0,00004046666666666666",rand
50000,100,"0,02370050000000000000","0,00002006666666666666",rand
700000,100,"0,45695040000000000000","0,00004563333333333333",rand
900000,100,"0,61637193333333333333","0,00005006666666666666",rand
1000000,100,"0,41105966666666666666","0,00009936666666666666",seq
100000,100,"0,03541333333333333333","0,00004170000000000000",seq
10000,100,"0,00284496666666666666","0,00001680000000000000",seq
1000,100,"0,00022766666666666666","0,00000963333333333333",seq
100,100,"0,00002393333333333333","0,00000656666666666666",seq
2000000,100,"0,87614180000000000000","0,00012203333333333333",seq
200000,100,"0,07533496666666666666","0,00005423333333333333",seq
3000000,100,"1,37054670000000000000","0,00013110000000000000",seq
300000,100,"0,11421830000000000000","0,00005560000000000000",seq
